id_technology,description,id_technologyGroup
MBR_MF_A,"MBR membrane: Flat sheet microfiltration membrane, nominal porosity: 0.4 micrometer, Kubota Osaka, Japan, Hydraullic Retention Time = 15h, reactor volume=4.7m3, Temp =20C(+/-2C)
Scale: Pilot scale",MBR
MBR_NF_A,"The MBR-RO/NF pilot plant was installed within the facilities of the full-scale WWTP of Castell-Platja d’Aro (NE Spain). This WWTP treats urban wastewater with a capacity of 35000 m3 day-1 and 175 000 populations equivalent (PO). The whole plant consists of pre-screening followed by a bioreactor of 2.26 m3
, divided into four compartments according to the University of Cape Town (UCT) configuration for nutrient removal. The MBR was installed at the outlet, containing a submerged flat sheet membrane from Kubota with a total surface area of 8 m2  and a pore size of 0.4µm. The RO system consisted of variable frequency drive (VFD) controlled highpressure pump and a single 4” x 40” membrane element. The two membranes tested for
comparison during this study were a Filmtec NF90 membrane and a Hydranautics ESPA2 (RO) membrane. Both had a negative surface charge and were hydrophobic. The main difference between the two is the molecular weight cut-off (MWCO) (ESPA2 ? 100 g mol-1 NF90 ? 200 g mol-1) which in practical terms affects the salt retention and the membrane permeability. 

MBR membrane: --
NF membrane: NF90, Filmtec (Dow), 
flux = 18 L/m2.h",NF
MBR_NF_B,"THe MBR pilot plant installed at the WWTP Rincón de León in Alicante, Spain. The plant has four main tanks [a denitri-
fication (or anoxic) tank, a biological reactor, hollow fiber and flat sheet tanks] with a maximum hydraulic capacity of 11,000 L. The plant contains 2 Kubota submerged units (type LF10) with MBR membrane - flat sheet: 10 flat sheet (FS) chloral polyethylene membranes 0.8 m2 each, giving a total surface area of 16 m2, and  MBR Hollow fibre membrane: 4 submerged hollow fiber (HF) polyamide modules (type Micronet R, Porous Fibers) 5 m2 each with a total surface area of 20 m2.

NF membrane: Filmtec NF90-4040

Flux: 5-6.25 L/m2.h  
",NF
MBR_NF_C,"Effluent from the municipal wastewater treatment plant in Giessen, Germany (activated sludge process, 250.000 p.e.) was treated by a submerged nanofiltration module 
The nanofiltration module had 3.5 m² membrane surface and the membrane was made of PES (polyether sulfone), with a nominal NaCl retention of 30%. The transmembrane pressure used was 0.7 bar. Like in membrane bioreactor (MBR) applications, the membrane module is aerated to prevent fouling on the membrane.
MBR: flat sheet membrane
flux: 1 - 5 L/m2.h
NF membrane: 3.5 m² membrane surface and the membrane was made of PES (polyether sulfone), with a nominal NaCl retention of 30%. The transmembrane pressure used was 0.7 bar.",NF
MBR_RO_A,"MBR membrane: Mitsubishi Sterapore HF, 
RO membrane: Saehan 4040-FL (RE 4040-FRM), 
flux = 20 L/m2.h",RO
MBR_RO_B,"MBR membrane: Zenon ZW 500C, 
RO membrane: Osmonics AK4040, 
flux = 17-20 L/m2.h",RO
MBR_RO_C,"MBR membrane: not mentioned, 
RO membrane: TW30-40, Filmtec (Dow), semi-batch operation,
flux = 22-31 L/m2.h",RO
MBR_RO_D,"MBR membrane:  compartment holds 8 m2 of flat sheet membranes (Kubota, porous
size of 0.4 m), 
RO membrane: Ropur TR70-4021-HF",RO
MBR_RO_E,"MBR membrane:  submerged flat shet membrane from Kubota, 
RO membrane: Hydranautics ESPA2 ",RO
MBR_RO_F,"The plant contains 2 Kubota submerged units (type LF10) with MBR membrane - flat sheet: 10 flat sheet (FS) chloral polyethylene membranes 0.8 m2 each, giving a total surface area of 16 m2, and  MBR Hollow fibre membrane: 4 submerged hollow fiber (HF) polyamide modules (type Micronet R, Porous Fibers) 5 m2 each with a total surface area of 20 m2.

RO membrane: Filmtec BW30-4040 (Dow)
Flux: 5-6.25 L/m2h",RO
MBR_UF_A,"MBR membrane: Hollow firbre ultrafiltration membrane, nominal porosity: 0.05 micrometer, Koch membrane systems, USA, Hydraullic Retention Time = 7.2h, reactor volume=3.6m3, Temp =20C(+/-2C)
scale: Pilot scale",MBR
MF_RO_A,"MF membrane: US Filter, 
RO membrane: Hyraunautics ESPA2",RO
MF_RO_B,The feed was obtained from the effluent (10%) of CAS_B -> Final settling tank (9 hours),RO
MF_RO_C,"a spiral-wound crossflow module is employed for the reverse osmosis (RO) membrane filtration. The RO membrane (Filmtec, DOW) is made from a thin-film composite polyamide material. Each module is designed to operate at a water flux of 1.3 m3 h 1, and a product water recovery of 75–80%. The trans-membrane pressure is between 0.04 and 0.06 MPa, and the salt rejection remained at the level of 99%. Every 3–6 months, normally when the transmembrane pressure reaches above 0.06 MPa, the membrane is cleaned with 0.1%(w) sodium hydroxide solution (for organic foulants), 2%(w) citric acid (for inorganic foulants) and 0.5%(w) formaldehyde (as biocide).

The inlet water was from an anaerobic/anocic/oxic activated sludge process 

Four full-scale municipal WWTPs, referred as A, B, C and D, were selected in our study. These WWTPs employ similar
conventional treatment processes: primary treatment to remove particles coupled with secondary biological treat-
ment. For the secondary biological treatment processes, WWTPs A and D employ anaerobic/anoxic/oxic (A2/O) acti-
vated sludge process, anoxic/oxic (A/O) activated sludge process is adopted in WWTP B, and WWTP C employs oxidation ditch (OD).",RO
O3_A,"gaseous ozone is generated from an ozone generator (Mitsubishi Electric). The ozone dosage and contact time in the reaction tank is 5 mg L 1 and 15 min, respectively. The pH of the wastewater before ozonation ranges 6.5–8.0 and shows no significant change after ozonation. Four full-scale municipal WWTPs, referred as A, B, C and D, were selected in our study. These WWTPs employ similar conventional treatment processes: primary treatment to remove particles coupled with secondary biological treatment. For the secondary biological treatment processes, WWTPs A and D employ anaerobic/anoxic/oxic (A2/O) activated sludge process, anoxic/oxic (A/O) activated sludge process is adopted in WWTP B, and WWTP C employs oxidation ditch (OD).
Process is combined with inlet  from UF_A",O3
O3_B,"The WWTP Wüeri in Regensdorf, Switzerland with conventional activated sludge treatment was chosen as the study site and upgraded with a full-scale ozonation reactor followed by sand filtration. Ozone concentration was adjusted based on the Dissolved organic carbon content, HRT = 5-10 min, 20 min for dry weather condition",O3
O3_C,"influent from SF_C, 

The concentration of ozone and the retention time in the reaction tank are 3 mg/L and 27 min, respectively. ",O3
O3_D,"influent from: GAC_A, 

ozone doses range from 0.75 to 2 mg/L, with an average of 1 mg/L.",O3
O3_H2O2_A,"Secondary effluent (solids retention time of 25 days) from the RSWRF (Reno, Nevada, USA) was fed into a 40 L/min pilotscale treatment train. The secondary treatment achieved complete nitrification and partial denitrification (total nitrogen z 4 mg/L) with no detectable nitrite. The pH of the secondary effluent was 6.9, the alkalinity was approximately 90 mg/L as CaCO3, and the bromide concentration was 110 mg/L.
The study was separated into two phases. The first phase, which was previously completed by ECO:LOGIC Engineering (Rocklin, CA), evaluated full-scale secondary treatment, pilot-scale ultrafiltration (WesTech Engineering, Salt Lake City, UT), pilot-scale ozone/H2O2 (HiPOx, APTwater, Pleasant Hill, CA), and pilot-scale BAC (WesTech Engineering) (Sundaram et al., 2009). The second phase, which is the focus of the current study, evaluated full-scale secondary pilot-scale ozone/H2O2 (HiPOx, APTwater, Pleasant Hill, CA), (O3:TOC) ratio of approximately 0.8 (O3=5 mg/L), and H2O2 was added at a molar ratio of 1.0 (H2O2=3.5 mg/L).  The H2O2 was added immediately prior to the ozone and both were directly injected into the flow stream. Although the residence time in the HiPOx reactor was approximately 5 min, the oxidation reactions were complete in a matter of seconds due to the rapid conversion of molecular ozone to .OH 

The inlet concentration was from the SF_B",O3_H2O2
PhFe_A,"UV setup same as UV_B.. 
Two reservoir opaque tanks stored FeCl3 (50 L) and H2O2 (30 L). Two pumps (maximum flow rate 2.8 L s 1) injected the FeCl3 and H2O2 solutions inside the reactor. Wastewater from the biological treatment was pumped into the reactor with amaximum flow rate of 3.9 L/s. Hydrogen peroxide and iron were mixed in this phase.

The wastewater employed was taken downstream the moving bed bioreactor, at the Vidy MWTP (Lausanne, Switzerland) (May–June, 2012). No previous treatment was applied.

Bench scale.",PhFe
PhFe_B,"CPC reactor. Banch scale.. 
All experiments with immobilized TiO2 were performed in a pilot compound parabolic collector (CPC) solar plant designed for solar photocatalytic applications. This reactor is composed of two modules with twelve Pyrex glass tubes (30 mm O.D.) mounted on a fixed platform tilted 37 (local latitude). For these experiments, the usual configuration was changed to use only two glass tubes which were uniformly packed with the glass spheres. The total illuminated area was 0.30 m2 and the total volume (VT) was 10 L, 0.96 L of which was irradiated (Vi). The pump flow was 3.65 L min?1. Solar ultraviolet radiation (UV) was measured by a global UV radiometer (KIPP&ZONEN, model CUV 4) mounted on a platform tilted 37.",PhFe
PhFe_C,"Raceway Pond reactor (RPR); operating in pilot scale

All experiments were done in MWTP effluent spiked with ECs. The treated waste water was taken downstream of the MWTP secondary biological treatment in El Ejido (province of Almería, Spain) and used as received within the next 3 days. The main characteristics of the MWTP influent were COD between 250 and 300, DOC between 97 and 120
and TIC 95 and 120 mg L?1. 
Photo-Fenton experiments were performed at the Plataforma Solar de Almería in a pilot compound parabolic collector (CPC) solar plant designed for solar photocatalytic applications. This batch reactor is composed of two 11 L modules (CPC) with 12 pyrex glass tubes (30 mm O.D.) operated in series mounted on a fixed platform tilted 37? (local latitude). The water flows (20 L min?1) directly from one module to the other and finally to a 10 L tank. From the tank it is pumped again to the solar collectors. The piping and valves (3 L) between the reactor and the tank are black HDPE, which is highly resistant to chemicals, weatherproof and opaque, preventing any photochemical effect from outside the collectors. The total illuminated area is 3 m2, the total volume (two modules + tank + piping and valves) is 35 L (VT) and the irradiated volume is 22 L. Solar ultraviolet radiation (UV) was measured by a global UV radiometer mounted on a platform tilted 37? (the same as the CPCs) and connected to a computer for continuous recording (data every 1 s). The temperature inside the reactor was continuously recorded by a temperature probe (Crioterm PT-100 3H) inserted in the piping. Continuous mode; Two liquid depths = 5 and 15 cm; 3 HRT = 80 and 40 and 20 mins ",PhFe
SF_A,"Inlet water was from an anoxic/oxic sludge process
Four full-scale municipal WWTPs, referred as A, B, C and D, were selected in our study. These WWTPs employ similar conventional treatment processes: primary treatment to remove particles coupled with secondary biological treatment. For the secondary biological treatment processes, WWTPs A and D employ anaerobic/anoxic/oxic (A2/O) activated sludge process, anoxic/oxic (A/O) activated sludge process is adopted in WWTP B, and WWTP C employs oxidation ditch (OD).",SF
SF_B,"Full scale sand filtration

Effluent goes into O3_H2O2_A",SF
SF_C,"SF specs: The secondary effluent is introduced at the bottom of a sand column (2.5 m in outer diameter and 7.0 m in height) and flows upward through the sand bed. The flow rate and retention time through the sand are 110 m/day and  1 h, respectively.

Samples were collected from a municipal STP in Tokyo. The plant serves 460,000 people and treats 1.7 *10^5 m3 of sewage per day on average. It employs primary and secondary treatment using activated sludge with a hydraulic retention  time of 9 h. The aeration tank is a long channel plug-flow reactor. Part of the secondary effluent receives sand filtration and then ozonation (advanced treatment). ",SF
UF_A,"UF membrane: Zenon GE (pore size 0.02 mm, material PVDF), 6 trains of Zee-Weed 1000 membrane, each train contains 9 cassettes of 57–60 modules per cassette, module is operated in an outside/in configuration at a constant flow of 23 L (m2 h) 1 and the total treatment capacity reaches 80,000m3 d 1. The membrane is hydraulically backwashed at a constant flow rate of 34 (m2 h) 1, and 29 times per day. The backwash phase lasts for 1 min. Maintenance cleaning is conducted once per day. Membranes are soaked in the sodium hypochlorite solution (50 mg L 1) for 25 min.

Process is combined with m O3_A

The inlet water was from an anaerobic/anocic/oxic activated sludge process",UF
UV_A,"The wastewater employed was taken downstream the secondary biological step from the MWTP of Vidy (Lausanne, Switzerland) on May 12th, 2011. None previous treatments were applied. Water samples were always kept in dark conditions and refrigerated. cylindrical water-jacketed glass reactor, batch mode , reactor equiped with mechanical stirring and a UVlamp immersed and isolated by a cylindrical quartz tube. A low-pressure mercury lamp (Pen-Ray, 90-0012-01) was used, emitting the primary energy at 254 nm. The reactor was cooled by a thermostatic bath (Huber, Minichiller) in order to keep the temperature at 17  C.",UV
UV_B,"The wastewater employed was taken downstream the moving bed bioreactor, at the Vidy MWTP (Lausanne, Switzerland) (May–June, 2012). No previous treatment was applied. The experimental device had a reactor (Wedecco) with a hydraulically optimized chamber that was and equipped with five efficient, high-performance, low pressure mercury lamps (254 nm) of 150 W each. The reactor was cylindrical, with 37 L of inner volume. UV lamps were placed in quartz tubes distributed at the section of the cylinder, taking up all its length. The tight positioning of the lamps enabled the treatment of water with low UV transmittance. The reactor was equipped with a UV-radiometer at the inner wall. Average incident light flux inside the reactor was 70. Static mixers at the entrance of the reactor guaranteed turbulent flux inside of it.

bench scale",UV
UV_C,"The experimental design included two pilot scale reactors, namely a Compound Parabolic Collector (CPC) for outdoor sunlight experiments and a UV-C reactor (UV-C). Briefly, it consists of two 60 L tube modules, each one equipped with 10 cylindrical glass tubes made of borosilicate glass, with a diameter of 5 cm, a length of 150 cm and a thickness of 2.5 mm, to allow a 90% transmission of UVA in the natural solar spectrum. The photoreactor is titled at 37  with respect to the horizontal to maximize solar radiation. ",UV
UV_H2O2_A,"hydrogen peroxide (35% by weight, SigmaeAldrich), added dosage was 50 mg/L",UV_H2O2
UV_H2O2_B,"UV setup same as UV_B.. bench scale
Two reservoir opaque tanks stored FeCl3 (50 L) and H2O2 (30 L). Two pumps (maximum flow rate 2.8 L s 1) injected the FeCl3 and H2O2 solutions inside the reactor. Wastewater from the biological treatment was pumped into the reactor with amaximum flow rate of 3.9 L/s. Hydrogen peroxide and iron were mixed in this phase.",UV_H2O2
CAS_D,"WWTP1 The conventional activated sludge WWTP, where the MBR pilot plant is installed, serves a rural community in the South-East of Austria and is designed for 7000 population equivalents (pe). The treatment plant is charged with domestic sewage from a separated sewer system without industrial influents and with strong seasonal fluctuations due to local viniculture. The sewage plant is operated with simultaneous sludge stabilisation and simultaneous phosphorus precipitation with ferric chloride (FeCl3). Nitrogen removal is achieved by simultaneous and intermittent nitrification and denitrification. The WWTP consists of screen and grit chamber, two aeration tanks (1546 m3 each) and two secondary clarifier for final sedimentation. The excess sludge is removed very infrequently resulting in high SRTs. This conventional WWTP was sampled in parallel to the MBR.",CAS
CAS_E,"WWTP2 is a highly loaded plant, designed for carbon removal only. ",CAS
CAS_F,WWTP3 is a low-loaded plant designed for nutrient removal,CAS
MBR_C,"input from CAS_D 

The MBR is a pilot scale plant situated at the premises of a conventional WWTP (WWTP 1). From the grit chamber of the conventional plant the wastewater is pumped into a feed tank, from which the denitrification vessel is charged. In addition to the mechanic treatment of the full scale plant a 1 mm punched sieve is installed at the extraction point, reducing the amount of particulate matter and fibres entering the plant. From the nitrification tank the sludge is pumped to the external situated cross flow membrane module, where an ultrafiltration membrane is installed. The sludge is recycled to the nitrification vessel and the permeate is stored in a permeate tank. The membrane module is regularly backwashed with treated wastewater from the permeate tank. An internal sludge recycle connects nitrification and denitrification to avoid biomass accumulation in the nitrification tank and to obtain further nitrogen removal. The excess sludge is removed from this internal sludge recycle. Both nitrification and denitrification have a volume of 2.5 m3. Whereas the nitrification tank is continuously aerated, the denitrification tank is mixed by an electric stirrer. No phosphorous precipitation occurred.
The MBR was run with different operational settings. Different SRTs were installed during three investigation
periods.",MBR
CAS_Cl_A,"input from primary treatment clarifier, CAS + tertiary treatment (CAS followed by nitrifying rotating biological contactors (RBCs), sand filtration and chlorination/dechlorination are utilized in Plants 1–3. Plant 4 utilizes the extended air activated sludge process followed by sand filtration and chlorination/dechlorination)

HRT =7h",Cl
MBR_D,"WWTP desciption: input effluent from primary clarifier (same as CAS_G)

membrane: GE Water and Process Technologies/Zenon Membrane solutions

membrane type and treatment description: Three separate MBR pilot plants are operated in parallel, referred to as pilot A, B, and C hereinafter. The membrane modules are ‘‘Zeeweeds 500C’’ and the MBR system was supplied by GE Water & Process Technologies/ZENON Membrane Solutions (Oackville, Ont.). Normally, all pilots were operated under average flux of 34 L/(m2 h). However, to simulate flow variations experienced by the treatment plant, pilots were operated under peak flux of 52 L/(m2 h) for an hour every weekday. Each MBR system was operated with a permeate cycle of 10 min followed by relaxation or backpulse cycle of 30 s. Pilots A and B had sequential and cyclic 10/30 (s/s) on/off aeration under normal and peak flow conditions, respectively. Pilot C was operated with sequential and cyclic 10/10 (s/s) on/off aeration instead of 10/30 on/off.",MBR
CAS_E2,"WWTP description: Average from many WWTPs in the Glatt Valey watershed of Switzerland... These WWTPs are fully nitrifying all year and partially denitrifying. Some of them also have a post-filtration step to reduce suspended solids. The water retention time for the studied WWTP varied from 12 to 20 h. The operative sludge ages ranged from 7 to 16 days. During the study period, the wastewater flow reaching the largest WWTP discharging into the Glatt River, Zurich-Glatt WWTP, was redirected to the Zurich-Werdho WWTP discharging into the Limmat River. ",CAS
CAS_F2,"WWTP description: The sewage treatment plant studied in this work corresponds to a population of approximately 100,000 inhabitants locatedin Galicia (NW Spain). The plant includes three main sections: pre-treatment, primary
treatment andsecondary treatment (Fig. 1). After the reception andpumping of the inlet wastewaters, the pretreatment section comprises units for coarse screening (bar racks), fine screening andaeratedchambers for grit and fat removal. The primary treatment is carried out in circular sedimentation tanks. Finally, the secondary treatment is carriedout in biological reactors using the conventional activatedsludge process (mixedreactors followedby a sedimentation tank). The supernatant of the secondary sedimentation unit constitutes the final effluent of the plant.",CAS
CAS_G,"WWTP description: Samples were collected from two municipal wastewater treatment facilities in Switzerland.
WWTP 1: The wastewater treatment plant Kloten-Opfikon (WWTP-K) is located near the international airport of Zurich, Switzerland. The plant handles 55 000 population equivalents (PE) combining the domestic wastewater of 25 900 inhabitants in the catchment area and the wastewater from the international airport, including an unknown number of commuters and passengers. During sampling the average raw inflow was 16 500+/-5500 m3/d. At WWTP-A, secondary treatment is performed in two parallel-operated treatment units: a conventional activated sludge system and a fixed-bed reactor, receiving approx 50% of the primary effluent each.

WWTP 2: The second wastewater treatment plant is located at Altenrhein (WWTP-A) in the canton St. Gall. It receives the combined sewage of 80 000 PE comprising that of 52 000 inhabitants in the catchment area. The average raw inflow amounted to 21 000 m3/d during dry weather. In both WWTPs primary treatment consists of a screen, an aerated grit-removal tank, and a primary clarifier. In the case of WWTP-K secondary treatment is performed in two consecutive activated sludge units and the final effluent is discharged to the receiving surface water after sand filtration as tertiary treatment.  

Both systems are designed to provide wastewater treatment by nitrification and denitrification. The secondary effluents of both units are combined and treated by a sand filter before being discharged to the receiving river. In both wastewater treatment plants (WWTP-K and WWTP-A), primary and secondary sludges are sedimented in the primary clarifier, partially dewatered, and treated in anaerobic, mesophilic digesters with a residence times of 15-25 days. Further details on the treatment technologies applied in the two wastewater treatment plants are given elsewhere.",CAS
CAS_H,"Influent and effluent water were collected from three sewage treatment plants. 

A: population served=27000, preliminary treatment= Screening + Grit removal + Sedimentation, secondary treatment = Ferric salt addition + Activated Sludge (DN/N) + Final Sedimentation
B: population served=40000, preliminary treatment= Ferric salt addition+Screening + aerated Grit removal, secondary treatment = Ferric salt addition + Activated Sludge (DN/N) + polymer addition + Final Sedimentation
C:  population served=12400, preliminary treatment= Screening + Grit removal + Sedimentation, secondary treatment =Ferric salt addition + Activated Sludge + polymer addition + Final Sedimentation",CAS
CAS_I,"wastewater influent is a mix of hospital, domestic, and diary wastewater (total of 23 sites avergae is shown)",CAS
CAS_J,"Six STPs were chosen in towns spread over different Italian locations: STPs in Naples, Latina, and Cuneo were sampled in winter 2004, those in Cagliari and Varese Lago in summer 2004, and the STP in Varese Olona was sampled in both seasons. The STPs were all equipped with pretreatment and primary and secondary treatment facilities, i.e., primary settling and activated sludge processes.",CAS
CAS_K,"WWTP description: samples from six wastwater treatment plants, with screening, primary sedimnetation, activated sludge reactor, and final sedimentation, population served= 30000 to 957000",CAS
CAS_L,WWTP description:  results from 7 WWTPS COMBINED FROM ACTIVATED SLUDGE; AERATED LAGOONS AND OXIDATION DITCH,CAS
CAS_M,"WWTp description: Samples were collected from a municipal STP in Tokyo. The plant serves 460,000 people and treats 1.7×105 m3 of sewage per day on average. It employs primary and secondary treatment using activated sludge with a hydraulic retention time of 9 h. The aeration tank is a long channel plug-flow reactor. Part of the secondary effluent receives sand filtration and then ozonation (advanced treatment). The secondary effluent is introduced at the bottom of a sand column (2.5 m in outer diameter and 7.0 m in height) and flows upward through the sand bed. The flow rate and retention time through the sand are 110 m/day and 1 h, respectively. After sand filtration, the effluent was subjected to the ozonation process. The concentration of ozone and the retention time in the reaction tank are 3 mg/L and 27 min, respectively. Four sampling campaigns were conducted in July 2003 (1st campaign), November 2003 (2nd), June 2004 (3rd), and October 2005 (4th). Spot samples of secondary effluent and advanced-treated effluent were collected in all four campaigns. In the 3rd campaign, a spot sample of raw sewage influent was also collected and analyzed for target compounds except antibiotics. In the 4th campaign, 24 h composite samples of influent and secondary effluent were also collected, as well as spot samples of the advanced-treated effluent, and analyzed for all target compounds. ",CAS
CAS_N,"The two WWTP systems (activated sludge and MF/RO) investigated are in combination and together form the largest WWTP in the region servicing approximately 700 000 people with an average dry weather flow of 140 ML day-1. The plant consists of grit removal, primary settling tank, a bioreactor adn a final settling tant... the effluent from teh settling tank is injected into the MF/RO system. Influent flow characteristics of this plant are domestically dominated (>85%). However, this proportion decreases substantially (to 57%) when analysing biological oxygen demand (BOD) of influent, with a variety of industrial effluents to note including food manufacture/processing (15%), hospitality (10%), hospitals (3%), and motor industry (3%) wastes. The MF/RO plant receives approximately 10% of effluent flow from the conventional plant for supply to a local oil refinery.",CAS
